SINE ID	SeqID	Orientation	Start	Stop	Length
110	DS571662.1	+	2852	2956	105
111	DS571661.1	-	2654	2736	83
112	DS571660.1	-	369	743	375
113	DS571660.1	+	2613	2848	236
114	DS571656.1	+	2435	2901	467
115	DS571656.1	+	2881	2937	57
116	DS571651.1	+	5635	6156	522
117	DS571650.1	-	3218	3389	172
118	DS571647.1	+	3698	4225	528
119	DS571646.1	+	6287	6573	287
120	DS571643.1	+	737	1285	549
121	DS571640.1	-	4495	5069	575
122	DS571637.1	+	4646	4810	165
123	DS571637.1	+	4887	5227	341
124	DS571635.1	-	3461	4008	548
125	DS571628.1	+	4708	4877	170
126	DS571628.1	+	4954	5294	341
127	DS571621.1	-	935	1463	529
128	DS571620.1	-	2666	3001	336
129	DS571620.1	-	3079	3244	166
130	DS571619.1	+	6085	6250	166
131	DS571619.1	+	6328	6667	340
132	DS571617.1	+	4162	4660	499
133	DS571616.1	+	4479	4645	167
134	DS571616.1	+	4723	5066	344
135	DS571609.1	-	3396	3867	472
136	DS571608.1	+	7466	7975	510
137	DS571601.1	+	6354	6875	522
138	DS571601.1	-	8020	8115	96
139	DS571597.1	+	4605	4758	154
140	DS571597.1	+	4854	5190	337
141	DS571597.1	-	5447	5974	528
142	DS571597.1	+	8576	9092	517
143	DS571589.1	-	7340	7575	236
144	DS571584.1	-	2163	2495	333
145	DS571584.1	-	2580	2745	166
146	DS571583.1	-	6604	6787	184
147	DS571583.1	-	6865	7030	166
148	DS571570.1	-	6988	7518	531
149	DS571567.1	+	6898	7161	264
150	DS571567.1	+	8620	8855	236
151	DS571564.1	+	1744	2257	514
152	DS571563.1	-	1655	2145	491
153	DS571562.1	-	9097	9556	460
154	DS571552.1	-	1055	1574	520
155	DS571551.1	+	8152	8691	540
156	DS571546.1	+	7670	8189	520
157	DS571537.1	-	10094	10592	499
158	DS571530.1	+	1530	2066	537
159	DS571529.1	-	1675	2018	344
160	DS571529.1	-	2095	2262	168
161	DS571525.1	+	645	826	182
162	DS571525.1	-	9264	9592	329
163	DS571525.1	-	9670	9837	168
164	DS571520.1	+	2713	3229	517
165	DS571520.1	-	4289	4393	105
166	DS571515.1	+	12024	12542	519
167	DS571514.1	+	12240	12738	499
168	DS571512.1	+	8398	8929	532
169	DS571510.1	-	10035	10283	249
170	DS571510.1	+	10283	10369	87
171	DS571510.1	-	10473	10686	214
172	DS571509.1	+	8362	8870	509
173	DS571508.1	-	3951	4497	547
174	DS571504.1	+	7442	7705	264
175	DS571504.1	+	9167	9402	236
176	DS571499.1	+	8764	9285	522
177	DS571499.1	-	10340	10444	105
178	DS571498.1	-	11135	11636	502
179	DS571496.1	+	2149	2729	581
180	DS571496.1	+	8392	8557	166
181	DS571494.1	+	2814	3360	547
182	DS571494.1	-	6181	6241	61
183	DS571493.1	+	12850	13369	520
184	DS571492.1	-	5152	5198	47
185	DS571492.1	-	6596	6937	342
186	DS571492.1	-	7007	7177	171
187	DS571492.1	-	7635	7920	286
188	DS571489.1	+	6583	7125	543
189	DS571487.1	+	12339	12886	548
190	DS571485.1	+	12254	12389	136
191	DS571483.1	-	6889	7437	549
192	DS571482.1	+	14834	14935	102
193	DS571482.1	+	15011	15262	252
194	DS571481.1	-	275	357	83
195	DS571480.1	+	4103	4657	555
196	DS571480.1	-	14142	14573	432
197	DS571480.1	+	15248	15327	80
198	DS571479.1	+	5628	6153	526
199	DS571478.1	+	11047	11573	527
200	DS571477.1	+	2876	3462	587
201	DS571469.1	+	4707	4811	105
202	DS571469.1	-	5934	6454	521
203	DS571464.1	+	14348	14843	496
204	DS571462.1	+	2827	2990	164
205	DS571462.1	+	3765	4056	292
206	DS571454.1	-	1540	2065	526
207	DS571454.1	+	15513	16036	524
208	DS571451.1	-	2940	3490	551
209	DS571449.1	+	10293	10805	513
210	DS571446.1	+	6825	7347	523
211	DS571445.1	-	9170	9717	548
212	DS571442.1	+	14675	15233	559
213	DS571434.1	+	13629	14135	507
214	DS571428.1	-	1	432	432
215	DS571427.1	-	19392	19454	63
216	DS571426.1	+	1549	2047	499
217	DS571424.1	-	3596	4129	534
218	DS571423.1	-	480	1027	548
219	DS571421.1	-	9077	9309	233
220	DS571420.1	+	3610	3950	341
221	DS571419.1	-	11444	11953	510
222	DS571410.1	-	9211	9757	547
223	DS571408.1	+	13479	14004	526
224	DS571405.1	-	17230	17767	538
225	DS571401.1	-	13584	13711	128
226	DS571399.1	-	18518	19032	515
227	DS571391.1	-	1935	2281	347
228	DS571385.1	+	10633	11144	512
229	DS571382.1	-	18364	18911	548
230	DS571380.1	-	2218	2300	83
231	DS571379.1	-	4187	4469	283
232	DS571378.1	-	16905	17423	519
233	DS571375.1	-	1510	1885	376
234	DS571375.1	+	3743	3978	236
235	DS571375.1	+	11564	11668	105
236	DS571375.1	-	12725	13246	522
237	DS571375.1	-	16833	16942	110
238	DS571372.1	-	19243	19790	548
239	DS571368.1	+	4650	4820	171
240	DS571366.1	-	20852	21418	567
241	DS571364.1	+	4774	4935	162
242	DS571364.1	+	4953	5341	389
243	DS571364.1	-	15233	15754	522
244	DS571364.1	-	17240	17526	287
245	DS571362.1	-	23201	23543	343
246	DS571362.1	-	23621	23787	167
247	DS571361.1	+	6649	6989	341
248	DS571360.1	+	6411	6582	172
249	DS571360.1	+	6653	6992	340
250	DS571358.1	-	1	291	291
251	DS571358.1	+	20919	21460	542
252	DS571347.1	+	2153	2697	545
253	DS571347.1	+	7766	8312	547
254	DS571346.1	-	25552	26089	538
255	DS571340.1	-	28679	29011	333
256	DS571340.1	-	29093	29260	168
257	DS571338.1	-	29344	29863	520
258	DS571337.1	+	9924	10096	173
259	DS571337.1	+	10174	10366	193
260	DS571336.1	-	3051	3530	480
261	DS571335.1	-	11071	11144	74
262	DS571334.1	+	2060	2609	550
263	DS571333.1	+	24596	24700	105
264	DS571333.1	-	26886	27402	517
265	DS571327.1	-	3149	3668	520
266	DS571327.1	-	28534	29053	520
267	DS571327.1	-	29536	30054	519
268	DS571326.1	-	3465	3986	522
269	DS571325.1	+	4229	4333	105
270	DS571325.1	-	6530	7049	520
271	DS571325.1	+	9537	9700	164
272	DS571325.1	+	9723	10107	385
273	DS571323.1	-	4062	4240	179
274	DS571323.1	-	4341	4442	102
275	DS571321.1	-	10357	10694	338
276	DS571321.1	-	10773	10941	169
277	DS571321.1	+	12109	12624	516
278	DS571321.1	-	31302	31857	556
279	DS571317.1	+	27556	28102	547
280	DS571317.1	-	31799	32139	341
281	DS571317.1	-	32217	32383	167
282	DS571315.1	-	29970	30250	281
283	DS571315.1	-	30388	30558	171
284	DS571314.1	+	27504	28027	524
285	DS571312.1	-	3433	3951	519
286	DS571312.1	-	16975	17547	573
287	DS571312.1	-	32704	33283	580
288	DS571310.1	-	11201	11748	548
289	DS571310.1	+	15042	15563	522
290	DS571309.1	+	12705	12808	104
291	DS571305.1	+	982	1488	507
292	DS571304.1	+	36363	36537	175
293	DS571304.1	+	36685	36960	276
294	DS571302.1	+	26753	26883	131
295	DS571299.1	-	247	503	257
296	DS571299.1	-	581	752	172
297	DS571290.1	-	38958	39278	321
298	DS571288.1	+	2330	2771	442
299	DS571288.1	+	2750	2826	77
300	DS571288.1	+	14814	15159	346
301	DS571287.1	+	30406	30925	520
302	DS571284.1	+	36574	37121	548
303	DS571282.1	+	3743	4246	504
304	DS571282.1	-	4493	5005	513
305	DS571281.1	+	36944	37183	240
306	DS571280.1	-	7329	7892	564
307	DS571279.1	-	21128	21675	548
308	DS571278.1	-	5788	6335	548
309	DS571278.1	+	42329	42533	205
310	DS571277.1	-	38568	39113	546
311	DS571274.1	+	9045	9402	358
312	DS571274.1	+	10461	10976	516
313	DS571272.1	+	1426	1973	548
314	DS571271.1	+	44400	44478	79
315	DS571268.1	+	10900	11415	516
316	DS571266.1	+	27735	28285	551
317	DS571265.1	+	5332	5897	566
318	DS571263.1	+	40459	40762	304
319	DS571262.1	+	10949	11116	168
320	DS571262.1	+	11200	11529	330
321	DS571262.1	+	48104	48624	521
322	DS571261.1	+	35359	35881	523
323	DS571258.1	+	3599	3938	340
324	DS571258.1	+	46900	47420	521
325	DS571257.1	+	385	547	163
326	DS571257.1	+	616	960	345
327	DS571257.1	-	7608	8154	547
328	DS571257.1	+	24191	24792	602
329	DS571257.1	+	45864	46411	548
330	DS571256.1	-	32639	33186	548
331	DS571255.1	-	2413	2933	521
332	DS571255.1	-	5180	5730	551
333	DS571255.1	-	47564	48079	516
334	DS571250.1	-	21672	22242	571
335	DS571250.1	-	41650	42221	572
336	DS571249.1	+	2303	2847	545
337	DS571249.1	+	41310	41826	517
338	DS571247.1	-	14626	15174	549
339	DS571247.1	+	50358	50797	440
340	DS571245.1	-	48333	48864	532
341	DS571244.1	-	34035	34320	286
342	DS571244.1	-	35083	35255	173
343	DS571240.1	-	21810	22357	548
344	DS571240.1	-	34687	35232	546
345	DS571238.1	-	1289	1580	292
346	DS571237.1	+	34664	35211	548
347	DS571234.1	+	23602	23708	107
348	DS571234.1	-	28707	28981	275
349	DS571234.1	+	34104	34205	102
350	DS571234.1	+	34930	35204	275
351	DS571233.1	+	53661	54209	549
352	DS571228.1	+	4747	5291	545
353	DS571227.1	-	51073	51620	548
354	DS571226.1	-	26473	27020	548
355	DS571225.1	-	2662	2959	298
356	DS571225.1	+	35303	35815	513
357	DS571224.1	+	49836	50359	524
358	DS571221.1	+	45973	46520	548
359	DS571219.1	-	14575	15119	545
360	DS571216.1	-	54483	54744	262
361	DS571216.1	-	59808	60174	367
362	DS571216.1	-	60228	60398	171
363	DS571214.1	+	5940	6332	393
364	DS571214.1	-	14616	15162	547
365	DS571213.1	-	1929	2163	235
366	DS571212.1	+	51753	51824	72
367	DS571210.1	-	7313	7650	338
368	DS571210.1	-	7728	7889	162
369	DS571210.1	+	20550	21124	575
370	DS571210.1	-	31147	31225	79
371	DS571210.1	+	40758	41076	319
372	DS571208.1	+	21806	22114	309
373	DS571208.1	-	64292	64851	560
374	DS571207.1	-	6396	6478	83
375	DS571206.1	-	4326	4845	520
376	DS571206.1	-	7492	8012	521
377	DS571206.1	-	68714	69212	499
378	DS571204.1	+	58923	59444	522
379	DS571204.1	-	69989	70514	526
380	DS571203.1	-	7290	7492	203
381	DS571203.1	-	15776	16143	368
382	DS571202.1	+	47441	47779	339
383	DS571202.1	-	69412	69750	339
384	DS571202.1	-	69828	69993	166
385	DS571200.1	-	34421	34588	168
386	DS571200.1	-	48531	49130	600
387	DS571200.1	-	69036	69137	102
388	DS571198.1	-	74939	75264	326
389	DS571196.1	-	636	871	236
390	DS571196.1	+	10082	10599	518
391	DS571196.1	+	21848	22308	461
392	DS571196.1	+	45725	46247	523
393	DS571193.1	-	2680	3013	334
394	DS571193.1	-	2996	3191	196
395	DS571192.1	+	24327	24874	548
396	DS571190.1	+	67760	68306	547
397	DS571188.1	+	1808	2069	262
398	DS571188.1	+	37351	37698	348
399	DS571187.1	+	7731	8258	528
400	DS571187.1	-	77798	78137	340
401	DS571187.1	-	78124	78315	192
402	DS571186.1	+	24991	25539	549
403	DS571186.1	-	65379	65899	521
404	DS571184.1	+	54902	55424	523
405	DS571183.1	-	67470	68018	549
406	DS571182.1	-	24783	24930	148
407	DS571182.1	-	33894	34215	322
408	DS571182.1	+	91505	92024	520
409	DS571181.1	-	66864	67386	523
410	DS571181.1	-	73495	73664	170
411	DS571181.1	-	91281	91609	329
412	DS571179.1	-	17221	17550	330
413	DS571179.1	-	17642	17794	153
414	DS571179.1	+	37876	38421	546
415	DS571179.1	-	50810	51143	334
416	DS571179.1	-	51126	51321	196
417	DS571179.1	+	92525	93045	521
418	DS571176.1	+	5153	5664	512
419	DS571175.1	+	74284	74763	480
420	DS571175.1	-	99522	99581	60
421	DS571174.1	-	97506	98020	515
422	DS571173.1	+	55379	55902	524
423	DS571173.1	-	66390	66910	521
424	DS571172.1	+	92389	92903	515
425	DS571171.1	-	68459	68972	514
426	DS571170.1	-	5598	5861	264
427	DS571170.1	+	49797	50304	508
428	DS571169.1	-	3476	3565	90
429	DS571168.1	-	1779	2296	518
430	DS571167.1	+	34097	34642	546
431	DS571167.1	+	116392	116899	508
432	DS571167.1	-	117042	117212	171
433	DS571166.1	-	2422	2695	274
434	DS571166.1	-	2839	3007	169
435	DS571166.1	+	33452	33997	546
436	DS571166.1	+	120649	120822	174
437	DS571166.1	+	120898	121238	341
438	DS571165.1	+	67554	67819	266
439	DS571164.1	+	3374	3544	171
440	DS571164.1	-	3678	4206	529
441	DS571164.1	+	4207	4498	292
442	DS571164.1	-	63794	64279	486
443	DS571164.1	-	76192	76560	369
444	DS571164.1	-	76614	76784	171
445	DS571164.1	+	128002	128545	544
446	DS571164.1	-	128981	129320	340
447	DS571162.1	+	90296	90468	173
448	DS571162.1	+	90544	90876	333
449	DS571162.1	+	90544	90642	99
450	DS571161.1	+	105544	106050	507
451	DS571160.1	+	2282	2787	506
452	DS571159.1	-	21129	21211	83
453	DS571158.1	-	13392	13914	523
454	DS571158.1	+	27157	27705	549
455	DS571158.1	+	113569	114082	514
456	DS571157.1	+	9638	9807	170
457	DS571157.1	+	9888	10199	312
458	DS571157.1	+	85456	86055	600
459	DS571156.1	-	131615	131788	174
460	DS571155.1	+	84195	84345	151
461	DS571155.1	-	84915	85338	424
462	DS571155.1	+	85325	85541	217
463	DS571155.1	+	91603	91753	151
464	DS571154.1	-	134419	134622	204
465	DS571154.1	-	134574	134922	349
466	DS571153.1	+	2279	2791	513
467	DS571153.1	-	10789	11052	264
468	DS571153.1	-	98746	99083	338
469	DS571153.1	-	99152	99326	175
470	DS571151.1	-	88957	89502	546
471	DS571151.1	-	119749	120322	574
472	DS571151.1	-	150145	150737	593
473	DS571151.1	-	154349	154896	548
474	DS571150.1	+	28705	28880	176
475	DS571150.1	+	28957	29286	330
476	DS571150.1	-	108719	108793	75
477	DS571148.1	+	58194	58741	548
478	DS571147.1	-	111729	112275	547
479	DS571146.1	-	76590	77115	526
480	DS571146.1	+	102831	103378	548
481	DS571145.1	+	41767	41842	76
482	DS571145.1	+	96826	97371	546
483	DS571145.1	-	177983	178060	78
484	DS571145.1	+	215310	215476	167
485	DS571145.1	+	215554	215887	334
486	DS571145.1	-	290395	290768	374
487	DS571145.1	-	290395	290440	46
488	DS571145.1	-	290802	290980	179
489	DS571145.1	-	331929	332474	546
490	DS571145.1	+	370372	370584	213
