=== COMMON SINEs ver.1SeqID	SINE_ID_1	Start_1	Stop_1	Orientation_1	Length_1	SINE_ID_2	Start_2	Stop_2	Orientation_2	Length_2
DS572210.1	19	758	1282	+	525	74	755	1279	+	525
DS571768.1	73	1162	1707	+	546	148	1157	1705	+	549
DS571179.1	414	37876	38421	+	546	33	37873	38420	+	548
DS571179.1	417	92525	93045	+	521	19	92522	93042	+	521
DS571233.1	351	53661	54209	+	549	26	53658	54208	+	551
DS571262.1	319	10949	11116	+	168	119	10947	11526	+	580
DS571262.1	320	11200	11529	+	330	119	10947	11526	+	580
DS571262.1	321	48104	48624	+	521	83	48094	48620	+	527
DS571148.1	477	58194	58741	+	548	20	58191	58738	+	548
DS571713.1	85	3167	3333	+	167	134	3158	3754	+	597
DS571713.1	86	3411	3755	+	345	134	3158	3754	+	597
DS571732.1	82	2217	2746	+	530	68	2214	2742	+	529
DS571897.1	44	636	1196	+	561	115	627	1193	+	567
DS571164.1	441	4207	4498	+	292	257	4209	3682	-	528
DS571164.1	445	128002	128545	+	544	31	127996	128542	+	547
DS572252.1	15	5	551	+	547	34	2	548	+	547
DS571204.1	378	58923	59444	+	522	62	58918	59442	+	525
DS571268.1	315	10900	11415	+	516	45	10897	11416	+	520
DS572490.1	8	664	838	+	175	121	661	1120	+	460
DS572490.1	9	890	1120	+	231	121	661	1120	+	460
DS571187.1	399	7731	8258	+	528	41	7728	8255	+	528
DS571515.1	166	12024	12542	+	519	86	12019	12539	+	521
DS572494.1	7	3	87	+	85	166	1	559	+	559
DS571546.1	156	7670	8189	+	520	51	7667	8187	+	521
DS571494.1	181	2814	3360	+	547	6	2811	3357	+	547
DS571210.1	369	20550	21124	+	575	25	20547	21121	+	575
DS571509.1	172	8362	8870	+	509	97	8352	8867	+	516
DS571755.1	76	2078	2241	+	164	123	2067	2649	+	583
DS571755.1	77	2264	2652	+	389	123	2067	2649	+	583
DS571146.1	480	102831	103378	+	548	7	102828	103375	+	548
DS571520.1	164	2713	3229	+	517	87	2710	3227	+	518
DS571247.1	339	50358	50797	+	440	52	50355	50805	+	451
DS571175.1	419	74284	74763	+	480	137	74276	74805	+	530
DS571968.1	38	1454	1845	+	392	159	1281	1842	+	562
DS571358.1	251	20919	21460	+	542	35	20913	21457	+	545
DS571176.1	418	5153	5664	+	512	55	5141	5663	+	523
DS571496.1	179	2149	2729	+	581	118	2146	2731	+	586
DS571170.1	427	49797	50304	+	508	54	49793	50301	+	509
DS571469.1	201	4707	4811	+	105	153	4697	5352	+	656
DS571446.1	210	6825	7347	+	523	53	6822	7343	+	522
DS571709.1	90	2202	2377	+	176	102	2199	2780	+	582
DS571709.1	91	2400	2784	+	385	102	2199	2780	+	582
DS571619.1	130	6085	6250	+	166	141	6076	6666	+	591
DS571619.1	131	6328	6667	+	340	141	6076	6666	+	591
DS571514.1	167	12240	12738	+	499	46	12237	12735	+	499
DS571794.1	67	1155	1682	+	528	94	1146	1678	+	533
DS571669.1	103	3654	3821	+	168	127	3645	4230	+	586
DS571669.1	104	3899	4233	+	335	127	3645	4230	+	586
DS571385.1	228	10633	11144	+	512	77	10623	11142	+	520
DS571155.1	462	85325	85541	+	217	340	85396	84918	-	479
DS571477.1	200	2876	3462	+	587	139	2871	3459	+	589
DS571158.1	454	27157	27705	+	549	21	27154	27704	+	551
DS571158.1	455	113569	114082	+	514	90	113563	114080	+	518
DS571887.1	48	880	989	+	110	187	870	1478	+	609
DS571887.1	49	1399	1479	+	81	187	870	1478	+	609
DS571173.1	422	55379	55902	+	524	85	55376	55899	+	524
DS571261.1	322	35359	35881	+	523	96	35353	35880	+	528
DS571832.1	59	658	1204	+	547	16	655	1201	+	547
DS571674.1	101	4430	4948	+	519	81	4426	4947	+	522
DS571333.1	263	24596	24700	+	105	157	24586	25172	+	587
DS571628.1	125	4708	4877	+	170	132	4699	5293	+	595
DS571628.1	126	4954	5294	+	341	132	4699	5293	+	595
DS571690.1	95	463	961	+	499	49	460	958	+	499
DS571249.1	336	2303	2847	+	545	30	2300	2846	+	547
DS571249.1	337	41310	41826	+	517	38	41300	41823	+	524
DS571234.1	350	34930	35204	+	275	149	34641	35201	+	561
DS571224.1	357	49836	50359	+	524	80	49831	50356	+	526
DS571167.1	430	34097	34642	+	546	13	34094	34639	+	546
DS571167.1	431	116392	116899	+	508	66	116380	116898	+	519
DS571145.1	482	96826	97371	+	546	3	96823	97370	+	548
DS571145.1	484	215310	215476	+	167	126	215307	215887	+	581
DS571145.1	485	215554	215887	+	334	126	215307	215887	+	581
DS571145.1	487	290395	290440	-	46	349	290984	290373	-	612
DS571221.1	358	45973	46520	+	548	11	45970	46517	+	548
DS571214.1	363	5940	6332	+	393	150	5760	6329	+	570
DS571449.1	209	10293	10805	+	513	36	10283	10802	+	520
DS571764.1	74	296	778	+	483	135	242	775	+	534
DS571656.1	114	2435	2901	+	467	112	2432	2934	+	503
DS571656.1	115	2881	2937	+	57	112	2432	2934	+	503
DS571597.1	139	4605	4758	+	154	108	4602	5189	+	588
DS571597.1	140	4854	5190	+	337	108	4602	5189	+	588
DS571597.1	142	8576	9092	+	517	42	8573	9089	+	517
DS571321.1	277	12109	12624	+	516	37	12106	12621	+	516
DS571840.1	55	2126	2290	+	165	136	2117	2705	+	589
DS571840.1	56	2368	2706	+	339	136	2117	2705	+	589
DS571364.1	241	4774	4935	+	162	128	4761	5338	+	578
DS571364.1	242	4953	5341	+	389	128	4761	5338	+	578
DS571893.1	47	173	693	+	521	82	163	689	+	527
DS571646.1	119	6287	6573	+	287	160	6079	6570	+	492
DS571317.1	279	27556	28102	+	547	18	27553	28099	+	547
DS571160.1	451	2282	2787	+	506	104	2272	2783	+	512
DS571714.1	84	3042	3567	+	526	76	3039	3564	+	526
DS571162.1	447	90296	90468	+	173	106	90292	90873	+	582
DS571162.1	448	90544	90876	+	333	106	90292	90873	+	582
DS571237.1	346	34664	35211	+	548	29	34661	35208	+	548
DS571274.1	312	10461	10976	+	516	39	10458	10976	+	519
DS571804.1	63	840	1360	+	521	44	837	1358	+	522
DS571347.1	252	2153	2697	+	545	2	2150	2696	+	547
DS571347.1	253	7766	8312	+	547	1	7763	8309	+	547
DS571325.1	271	9537	9700	+	164	120	9526	10104	+	579
DS571325.1	272	9723	10107	+	385	120	9526	10104	+	579
DS572209.1	20	374	548	+	175	143	355	846	+	492
DS572209.1	21	584	849	+	266	143	355	846	+	492
DS571811.1	62	1855	2365	+	511	142	1835	2362	+	528
DS571150.1	474	28705	28880	+	176	109	28700	29285	+	586
DS571150.1	475	28957	29286	+	330	109	28700	29285	+	586
DS571184.1	404	54902	55424	+	523	61	54897	55421	+	525
DS571493.1	183	12850	13369	+	520	91	12847	13366	+	520
DS571166.1	435	33452	33997	+	546	9	33449	33996	+	548
DS571166.1	436	120649	120822	+	174	103	120646	121235	+	590
DS571166.1	437	120898	121238	+	341	103	120646	121235	+	590
DS571616.1	133	4479	4645	+	167	125	4470	5065	+	596
DS571616.1	134	4723	5066	+	344	125	4470	5065	+	596
DS571710.1	89	2039	2368	+	330	152	1799	2367	+	569
DS571225.1	356	35303	35815	+	513	93	35295	35813	+	519
DS571282.1	303	3743	4246	+	504	144	3723	4243	+	521
DS571408.1	223	13479	14004	+	526	65	13476	14002	+	527
DS571305.1	291	982	1488	+	507	101	972	1484	+	513
DS572182.1	24	507	885	+	379	140	493	964	+	472
DS571258.1	323	3599	3938	+	340	155	3366	3935	+	570
DS571258.1	324	46900	47420	+	521	73	46897	47418	+	522
DS571530.1	158	1530	2066	+	537	50	1520	2063	+	544
DS571564.1	151	1744	2257	+	514	43	1738	2256	+	519
DS571683.1	96	4580	4745	+	166	138	4571	5160	+	590
DS571683.1	97	4823	5161	+	339	138	4571	5160	+	590
DS571172.1	424	92389	92903	+	515	64	92383	92905	+	523
DS571551.1	155	8152	8691	+	540	57	8149	8687	+	539
DS571813.1	61	1181	1730	+	550	133	1172	1729	+	558
DS571489.1	188	6583	7125	+	543	32	6580	7122	+	543
DS571228.1	352	4747	5291	+	545	27	4744	5290	+	547
DS571288.1	298	2330	2771	+	442	110	2327	2823	+	497
DS571288.1	299	2750	2826	+	77	110	2327	2823	+	497
DS571161.1	450	105544	106050	+	507	100	105538	106047	+	510
DS571190.1	396	67760	68306	+	547	15	67757	68303	+	547
DS571165.1	438	67554	67819	+	266	181	67257	67816	+	560
DS571272.1	313	1426	1973	+	548	4	1423	1970	+	548
DS571196.1	390	10082	10599	+	518	78	10075	10595	+	521
DS571196.1	391	21848	22308	+	461	122	21804	22304	+	501
DS571196.1	392	45725	46247	+	523	63	45722	46243	+	522
DS571304.1	292	36363	36537	+	175	107	36360	36957	+	598
DS571304.1	293	36685	36960	+	276	107	36360	36957	+	598
DS571679.1	98	5574	6098	+	525	79	5571	6095	+	525
DS571499.1	176	8764	9285	+	522	72	8761	9283	+	523
DS571481.1	194	275	357	-	83	391	868	278	-	591
DS571159.1	452	21129	21211	-	83	387	21722	21132	-	591
DS571360.1	248	6411	6582	+	172	116	6406	6989	+	584
DS571360.1	249	6653	6992	+	340	116	6406	6989	+	584
DS571207.1	374	6396	6478	-	83	389	6989	6399	-	591
DS571380.1	230	2218	2300	-	83	390	2811	2221	-	591
DS571699.1	94	3969	4117	+	149	161	3966	4452	+	487
DS571485.1	190	12254	12389	+	136	158	12251	12746	+	496
DS571192.1	395	24327	24874	+	548	23	24324	24871	+	548
DS571651.1	116	5635	6156	+	522	89	5631	6152	+	522
DS571704.1	93	85	583	+	499	47	82	580	+	499
DS571482.1	192	14834	14935	+	102	169	14747	15262	+	516
DS571482.1	193	15011	15262	+	252	169	14747	15262	+	516
DS571310.1	289	15042	15563	+	522	56	15039	15560	+	522
DS571153.1	466	2279	2791	+	513	99	2270	2789	+	520
DS571265.1	317	5332	5897	+	566	146	5326	5894	+	569
DS571663.1	108	4830	4996	+	167	131	4821	5413	+	593
DS571663.1	109	5074	5414	+	341	131	4821	5413	+	593
DS571608.1	136	7466	7975	+	510	59	7462	7985	+	524
DS571617.1	132	4162	4660	+	499	40	4159	4657	+	499
DS571712.1	87	1014	1539	+	526	60	1008	1535	+	528
DS571266.1	316	27735	28285	+	551	12	27732	28282	+	551
DS571637.1	122	4646	4810	+	165	147	4637	5226	+	590
DS571637.1	123	4887	5227	+	341	147	4637	5226	+	590
DS571774.1	71	235	759	+	525	75	232	756	+	525
DS571157.1	458	85456	86055	+	600	5	85453	86052	+	600

=== ONLY IN FILE 1 ===
SeqID	SINE_ID	Start	Stop	Orientation	Length
DS571182.1	406	24783	24930	-	148
DS571182.1	407	33894	34215	-	322
DS571668.1	106	4287	4833	-	547
DS571480.1	196	14142	14573	-	432
DS571480.1	197	15248	15327	+	80
DS571375.1	233	1510	1885	-	376
DS571375.1	234	3743	3978	+	236
DS571375.1	236	12725	13246	-	522
DS571375.1	237	16833	16942	-	110
DS572179.1	25	232	570	-	339
DS572179.1	26	647	808	-	162
DS571147.1	478	111729	112275	-	547
DS571454.1	206	1540	2065	-	526
DS572139.1	28	339	856	-	518
DS571227.1	353	51073	51620	-	548
DS571640.1	121	4495	5069	-	575
DS571378.1	232	16905	17423	-	519
DS571421.1	219	9077	9309	-	233
DS571567.1	149	6898	7161	+	264
DS571567.1	150	8620	8855	+	236
DS571974.1	37	647	908	-	262
DS571913.1	43	769	1318	-	550
DS571621.1	127	935	1463	-	529
DS571664.1	107	192	703	-	512
DS571660.1	112	369	743	-	375
DS571660.1	113	2613	2848	+	236
DS571583.1	146	6604	6787	-	184
DS571583.1	147	6865	7030	-	166
DS571151.1	470	88957	89502	-	546
DS571151.1	471	119749	120322	-	574
DS571151.1	472	150145	150737	-	593
DS571151.1	473	154349	154896	-	548
DS571781.1	70	220	324	-	105
DS572569.1	4	397	562	-	166
DS571250.1	334	21672	22242	-	571
DS571250.1	335	41650	42221	-	572
DS571525.1	162	9264	9592	-	329
DS571525.1	163	9670	9837	-	168
DS571315.1	282	29970	30250	-	281
DS571315.1	283	30388	30558	-	171
DS571186.1	403	65379	65899	-	521
DS571256.1	330	32639	33186	-	548
DS571290.1	297	38958	39278	-	321
DS571601.1	138	8020	8115	-	96
DS571379.1	231	4187	4469	-	283
DS571326.1	268	3465	3986	-	522
DS571327.1	265	3149	3668	-	520
DS571327.1	266	28534	29053	-	520
DS571327.1	267	29536	30054	-	519
DS571462.1	204	2827	2990	+	164
DS571462.1	205	3765	4056	+	292
DS571952.1	39	1166	1401	+	236
DS572253.1	13	464	804	-	341
DS572253.1	14	882	1044	-	163
DS571202.1	383	69412	69750	-	339
DS571202.1	384	69828	69993	-	166
DS571257.1	327	7608	8154	-	547
DS571795.1	66	967	1533	-	567
DS572165.1	27	1	165	+	165
DS571281.1	305	36944	37183	+	240
DS572549.1	5	1	259	-	259
DS572093.1	31	1184	1731	-	548
DS571179.1	412	17221	17550	-	330
DS571179.1	413	17642	17794	-	153
DS571179.1	415	50810	51143	-	334
DS571179.1	416	51126	51321	-	196
DS571337.1	258	9924	10096	+	173
DS571337.1	259	10174	10366	+	193
DS571183.1	405	67470	68018	-	549
DS571216.1	360	54483	54744	-	262
DS571216.1	361	59808	60174	-	367
DS571216.1	362	60228	60398	-	171
DS572441.1	10	1061	1162	-	102
DS571925.1	42	3	323	-	321
DS571312.1	285	3433	3951	-	519
DS571312.1	286	16975	17547	-	573
DS571312.1	287	32704	33283	-	580
DS571309.1	290	12705	12808	+	104
DS571240.1	343	21810	22357	-	548
DS571240.1	344	34687	35232	-	546
DS572264.1	11	384	926	-	543
DS571399.1	226	18518	19032	-	515
DS571424.1	217	3596	4129	-	534
DS571405.1	224	17230	17767	-	538
DS571164.1	439	3374	3544	+	171
DS571164.1	440	3678	4206	-	529
DS571164.1	442	63794	64279	-	486
DS571164.1	443	76192	76560	-	369
DS571164.1	444	76614	76784	-	171
DS571164.1	446	128981	129320	-	340
DS571340.1	255	28679	29011	-	333
DS571340.1	256	29093	29260	-	168
DS572087.1	32	858	1387	-	530
DS571825.1	60	3163	3504	-	342
DS571204.1	379	69989	70514	-	526
DS571187.1	400	77798	78137	-	340
DS571187.1	401	78124	78315	-	192
DS571510.1	169	10035	10283	-	249
DS571510.1	170	10283	10369	+	87
DS571510.1	171	10473	10686	-	214
DS571563.1	152	1655	2145	-	491
DS571271.1	314	44400	44478	+	79
DS571494.1	182	6181	6241	-	61
DS571210.1	367	7313	7650	-	338
DS571210.1	368	7728	7889	-	162
DS571210.1	370	31147	31225	-	79
DS571210.1	371	40758	41076	+	319
DS571335.1	261	11071	11144	-	74
DS571279.1	307	21128	21675	-	548
DS571492.1	184	5152	5198	-	47
DS571492.1	185	6596	6937	-	342
DS571492.1	186	7007	7177	-	171
DS571492.1	187	7635	7920	-	286
DS571146.1	479	76590	77115	-	526
DS571895.1	45	409	907	-	499
DS571483.1	191	6889	7437	-	549
DS571520.1	165	4289	4393	-	105
DS571445.1	211	9170	9717	-	548
DS571247.1	338	14626	15174	-	549
DS571168.1	429	1779	2296	-	518
DS571650.1	117	3218	3389	-	172
DS571175.1	420	99522	99581	-	60
DS571504.1	174	7442	7705	+	264
DS571504.1	175	9167	9402	+	236
DS571934.1	40	989	1553	-	565
DS571277.1	310	38568	39113	-	546
DS572515.1	6	305	600	-	296
DS571358.1	250	1	291	-	291
DS571244.1	341	34035	34320	-	286
DS571244.1	342	35083	35255	-	173
DS572249.1	16	1	355	-	355
DS571931.1	41	2270	2610	-	341
DS572231.1	17	547	887	-	341
DS572231.1	18	965	1126	-	162
DS571496.1	180	8392	8557	+	166
DS571170.1	426	5598	5861	-	264
DS571226.1	354	26473	27020	-	548
DS571171.1	425	68459	68972	-	514
DS571469.1	202	5934	6454	-	521
DS571391.1	227	1935	2281	-	347
DS571839.1	57	1394	1910	-	517
DS571709.1	92	3151	3670	-	520
DS571609.1	135	3396	3867	-	472
DS571302.1	294	26753	26883	+	131
DS571278.1	308	5788	6335	-	548
DS571278.1	309	42329	42533	+	205
DS571181.1	409	66864	67386	-	523
DS571181.1	410	73495	73664	-	170
DS571181.1	411	91281	91609	-	329
DS571844.1	54	827	1393	-	567
DS571410.1	222	9211	9757	-	547
DS571570.1	148	6988	7518	-	531
DS571156.1	459	131615	131788	-	174
DS571791.1	68	125	511	-	387
DS571155.1	460	84195	84345	+	151
DS571155.1	461	84915	85338	-	424
DS571155.1	463	91603	91753	+	151
DS571849.1	51	127	651	-	525
DS571742.1	81	2062	2569	-	508
DS571158.1	453	13392	13914	-	523
DS571173.1	423	66390	66910	-	521
DS571368.1	239	4650	4820	+	171
DS571635.1	124	3461	4008	-	548
DS571333.1	264	26886	27402	-	517
DS571174.1	421	97506	98020	-	515
DS571782.1	69	3845	4127	-	283
DS571730.1	83	563	823	+	261
DS571203.1	380	7290	7492	-	203
DS571203.1	381	15776	16143	-	368
DS571366.1	240	20852	21418	-	567
DS571234.1	347	23602	23708	+	107
DS571234.1	348	28707	28981	-	275
DS571234.1	349	34104	34205	+	102
DS571362.1	245	23201	23543	-	343
DS571362.1	246	23621	23787	-	167
DS571167.1	432	117042	117212	-	171
DS571193.1	393	2680	3013	-	334
DS571193.1	394	2996	3191	-	196
DS571833.1	58	382	906	-	525
DS571336.1	260	3051	3530	-	480
DS571145.1	481	41767	41842	+	76
DS571145.1	483	177983	178060	-	78
DS571145.1	486	290395	290768	-	374
DS571145.1	488	290802	290980	-	179
DS571145.1	489	331929	332474	-	546
DS571145.1	490	370372	370584	+	213
DS571299.1	295	247	503	-	257
DS571299.1	296	581	752	-	172
DS571214.1	364	14616	15162	-	547
DS571864.1	50	8	110	-	103
DS571428.1	214	1	432	-	432
DS571323.1	273	4062	4240	-	179
DS571323.1	274	4341	4442	-	102
DS571537.1	157	10094	10592	-	499
DS571169.1	428	3476	3565	-	90
DS571597.1	141	5447	5974	-	528
DS571321.1	275	10357	10694	-	338
DS571321.1	276	10773	10941	-	169
DS571321.1	278	31302	31857	-	556
DS571562.1	153	9097	9556	-	460
DS571364.1	243	15233	15754	-	522
DS571364.1	244	17240	17526	-	287
DS571747.1	79	386	453	+	68
DS571846.1	52	1374	1609	-	236
DS571846.1	53	3082	3345	-	264
DS571427.1	215	19392	19454	-	63
DS571317.1	280	31799	32139	-	341
DS571317.1	281	32217	32383	-	167
DS571162.1	449	90544	90642	+	99
DS571263.1	318	40459	40762	+	304
DS571274.1	311	9045	9402	+	358
DS571154.1	464	134419	134622	-	204
DS571154.1	465	134574	134922	-	349
DS571325.1	269	4229	4333	+	105
DS571325.1	270	6530	7049	-	520
DS571675.1	99	2590	2965	-	376
DS571675.1	100	4877	5115	+	239
DS571245.1	340	48333	48864	-	532
DS571372.1	238	19243	19790	-	548
DS571620.1	128	2666	3001	-	336
DS571620.1	129	3079	3244	-	166
DS571150.1	476	108719	108793	-	75
DS571361.1	247	6649	6989	+	341
DS571423.1	218	480	1027	-	548
DS571338.1	257	29344	29863	-	520
DS571166.1	433	2422	2695	-	274
DS571166.1	434	2839	3007	-	169
DS571419.1	221	11444	11953	-	510
DS571225.1	355	2662	2959	-	298
DS571282.1	304	4493	5005	-	513
DS571213.1	365	1929	2163	-	235
DS571451.1	208	2940	3490	-	551
DS571529.1	159	1675	2018	-	344
DS571529.1	160	2095	2262	-	168
DS572664.1	1	438	816	-	379
DS572593.1	3	147	694	-	548
DS571219.1	359	14575	15119	-	545
DS571208.1	372	21806	22114	+	309
DS571208.1	373	64292	64851	-	560
DS571255.1	331	2413	2933	-	521
DS571255.1	332	5180	5730	-	551
DS571255.1	333	47564	48079	-	516
DS571288.1	300	14814	15159	+	346
DS571238.1	345	1289	1580	-	292
DS572628.1	2	181	263	+	83
DS571196.1	389	636	871	-	236
DS571508.1	173	3951	4497	-	547
DS571743.1	80	1429	1948	-	520
DS571382.1	229	18364	18911	-	548
DS571212.1	366	51753	51824	+	72
DS571280.1	306	7329	7892	-	564
DS571499.1	177	10340	10444	-	105
DS572199.1	22	363	793	-	431
DS572199.1	23	1352	1597	+	246
DS571346.1	254	25552	26089	-	538
DS571584.1	144	2163	2495	-	333
DS571584.1	145	2580	2745	-	166
DS571751.1	78	3536	3928	-	393
DS571589.1	143	7340	7575	-	236
DS571803.1	64	308	546	-	239
DS571803.1	65	584	793	-	210
DS571761.1	75	688	1129	-	442
DS571894.1	46	1	79	+	79
DS571310.1	288	11201	11748	-	548
DS571200.1	385	34421	34588	-	168
DS571200.1	386	48531	49130	-	600
DS571200.1	387	69036	69137	-	102
DS571401.1	225	13584	13711	-	128
DS572254.1	12	1134	1402	-	269
DS571188.1	397	1808	2069	+	262
DS571188.1	398	37351	37698	+	348
DS571153.1	467	10789	11052	-	264
DS571153.1	468	98746	99083	-	338
DS571153.1	469	99152	99326	-	175
DS571769.1	72	2739	3297	-	559
DS571198.1	388	74939	75264	-	326
DS571552.1	154	1055	1574	-	520
DS571712.1	88	1536	1846	-	311
DS571206.1	375	4326	4845	-	520
DS571206.1	376	7492	8012	-	521
DS571206.1	377	68714	69212	-	499
DS571498.1	178	11135	11636	-	502
DS571157.1	456	9638	9807	+	170
DS571157.1	457	9888	10199	+	312

=== ONLY IN FILE 2 ===
SeqID	SINE_ID	Start	Stop	Orientation	Length
DS571668	241	4836	4290	-	547
DS571480	364	14659	14144	-	516
DS571375	260	13249	12727	-	523
DS572179	334	821	233	-	589
DS571147	230	112278	111732	-	547
DS571454	254	2068	1542	-	527
DS572139	286	865	342	-	524
DS571227	227	51623	51076	-	548
DS571640	302	5074	4496	-	579
DS571827	360	3250	2695	-	556
DS571378	264	17429	16908	-	522
DS571666	199	2968	3474	+	507
DS571313	193	21001	21461	+	461
DS571974	356	1211	650	-	562
DS571913	328	1327	770	-	558
DS571621	281	1466	937	-	530
DS571664	270	713	194	-	520
DS571660	335	757	270	-	488
DS571151	214	120325	119752	-	574
DS571151	226	154899	154352	-	548
DS571151	238	89505	88960	-	546
DS571151	296	150740	150148	-	593
DS571874	178	2490	3045	+	556
DS572569	354	572	1	-	572
DS571250	215	22245	21673	-	573
DS571250	222	42224	41651	-	574
DS571525	319	9846	9253	-	594
DS571315	306	30565	29973	-	593
DS571826	182	1523	2005	+	483
DS571186	239	65902	65382	-	521
DS571858	393	2317	1755	-	563
DS571256	208	33189	32642	-	548
DS571290	351	39436	38950	-	487
DS571381	394	24014	23336	-	679
DS571601	348	8125	7539	-	587
DS571326	276	3991	3465	-	527
DS571327	175	2399	2874	+	476
DS571327	233	3671	3152	-	520
DS571327	235	29056	28534	-	523
DS571327	237	30057	29536	-	522
DS571434	383	12301	11850	-	452
DS572253	326	1057	465	-	593
DS571202	315	70002	69413	-	590
DS571257	221	8157	7609	-	549
DS571795	311	1539	967	-	573
DS572093	217	1734	1187	-	548
DS571179	277	51324	50814	-	511
DS571179	316	17800	17223	-	578
DS572564	172	309	865	+	557
DS571183	229	68021	67471	-	551
DS571216	303	60403	59811	-	593
DS572094	403	1367	840	-	528
DS571312	204	17550	16976	-	575
DS571312	284	3954	3435	-	520
DS571312	313	33286	32707	-	580
DS571240	232	35235	34688	-	548
DS571240	236	22360	21813	-	548
DS572264	242	932	387	-	546
DS572142	171	1214	1723	+	510
DS571399	248	19037	18521	-	517
DS571424	273	4132	3598	-	535
DS571868	165	2793	3253	+	461
DS571868	355	950	490	-	461
DS571376	366	19888	19401	-	488
DS571405	330	17772	17230	-	543
DS572084	398	995	531	-	465
DS571164	287	64300	63793	-	508
DS571164	305	76789	76195	-	595
DS571164	345	129553	128984	-	570
DS571291	188	4529	5138	+	610
DS571340	324	29269	28681	-	589
DS572087	298	1390	860	-	531
DS571223	359	58471	57999	-	473
DS571490	191	3375	3860	+	486
DS571715	377	2360	1899	-	462
DS571204	249	70517	69992	-	526
DS571187	262	78318	77802	-	517
DS571510	267	10691	10039	-	653
DS571634	173	174	783	+	610
DS571254	196	25393	26040	+	648
DS571563	246	2148	1618	-	531
DS571210	304	7899	7311	-	589
DS571279	170	22315	22765	+	451
DS571279	218	21678	21129	-	550
DS571492	308	7180	6599	-	582
DS571519	190	228	723	+	496
DS571519	400	9070	8387	-	684
DS571146	291	77118	76594	-	525
DS571863	378	3290	2707	-	584
DS571895	250	910	412	-	499
DS571483	205	7440	6892	-	549
DS571286	385	7474	6994	-	481
DS571520	344	4403	3817	-	587
DS571445	216	9720	9173	-	548
DS571247	213	15177	14629	-	549
DS571168	261	2299	1780	-	520
DS571650	332	3409	2881	-	529
DS571934	320	1562	990	-	573
DS571277	207	39116	38571	-	546
DS571456	363	1420	961	-	460
DS572231	327	1139	548	-	592
DS571273	357	10224	9742	-	483
DS571226	225	27023	26476	-	548
DS571171	272	68985	68461	-	525
DS571469	244	6457	5936	-	522
DS571391	346	2514	1939	-	576
DS571839	285	1907	1396	-	512
DS571709	292	3673	3154	-	520
DS571343	185	28648	29099	+	452
DS571609	307	3870	3391	-	480
DS571220	358	33606	33095	-	512
DS571278	234	6338	5791	-	548
DS571181	288	67392	66865	-	528
DS571844	312	1399	827	-	573
DS571410	210	9760	9214	-	547
DS571570	271	7522	6990	-	533
DS571156	194	88162	88789	+	628
DS571791	347	691	127	-	565
DS571849	253	654	129	-	526
DS571742	297	2571	2065	-	507
DS571158	290	13920	13394	-	527
DS571173	275	66913	66392	-	522
DS571677	186	16	627	+	612
DS571635	301	4012	3464	-	549
DS571674	381	616	140	-	477
DS572489	200	550	1005	+	456
DS571541	198	10089	10729	+	641
DS571333	289	27411	26889	-	523
