SINE ID	SeqID	Orientation	Start	Stop	Length
231	DS549550.1	+	99613	99840	228
232	DS549524.1	-	4318	4911	594
233	DS549518.1	-	6818	7404	587
234	DS549512.1	+	9599	10184	586
235	DS549505.1	+	13070	13662	593
236	DS549479.1	+	4085	4614	530
237	DS549476.1	-	2	491	490
238	DS549474.1	-	15566	16076	511
239	DS549471.1	-	3052	3642	591
240	DS549470.1	+	3684	3972	289
241	DS549461.1	+	175	757	583
242	DS549461.1	-	5276	5526	251
243	DS549461.1	-	5519	5858	340
244	DS549446.1	+	4884	5465	582
245	DS549437.1	-	6	235	230
246	DS549427.1	-	16782	17398	617
247	DS549423.1	+	6094	6369	276
248	DS549420.1	-	12460	13058	599
249	DS549413.1	+	5375	5403	29
250	DS549404.1	-	13878	13946	69
251	DS549404.1	-	15185	15710	526
252	DS549388.1	+	5787	6382	596
253	DS549386.1	+	1950	2537	588
254	DS549385.1	-	3324	3907	584
255	DS549385.1	+	5957	6547	591
256	DS549372.1	+	1480	2070	591
257	DS549368.1	+	717	1313	597
258	DS549360.1	-	1398	1997	600
259	DS549356.1	-	147	742	596
260	DS549356.1	-	145766	146179	414
261	DS549328.1	-	3039	3630	592
262	DS549310.1	+	2726	3306	581
263	DS549310.1	-	4711	5309	599
264	DS549310.1	-	6951	7567	617
265	DS549290.1	-	24776	25347	572
266	DS549259.1	-	8909	9528	620
267	DS549255.1	-	236	827	592
268	DS549253.1	+	14850	15085	236
269	DS549248.1	-	2079	2675	597
270	DS549246.1	+	6290	6906	617
271	DS549232.1	-	3997	4599	603
272	DS549223.1	+	3039	3637	599
273	DS549212.1	+	6096	6684	589
274	DS549206.1	-	10352	10936	585
275	DS549206.1	+	13085	13668	584
276	DS549203.1	+	6643	7234	592
277	DS549201.1	-	6978	7563	586
278	DS549196.1	+	32022	32613	592
279	DS549195.1	+	1909	2505	597
280	DS549190.1	-	5844	5889	46
281	DS549165.1	+	1236	1825	590
282	DS549142.1	-	2575	2939	365
283	DS549128.1	+	26338	26932	595
284	DS549128.1	-	47339	47918	580
285	DS549128.1	+	49960	50437	478
286	DS549106.1	+	4077	4695	619
287	DS549061.1	+	47020	47639	620
288	DS549044.1	-	2798	2863	66
289	DS549044.1	-	2978	3126	149
290	DS549044.1	+	10621	10801	181
291	DS549038.1	-	43212	43809	598
292	DS549025.1	-	53717	54310	594
293	DS549025.1	+	98687	98937	251
294	DS549015.1	+	1091	1314	224
295	DS549013.1	-	81449	82045	597
296	DS549001.1	+	1434	2026	593
297	DS548981.1	-	272	894	623
298	DS548966.1	-	20797	20871	75
299	DS548966.1	+	40675	40800	126
300	DS548966.1	+	40910	41505	596
301	DS548960.1	-	4	365	362
302	DS548954.1	-	11558	12154	597
303	DS548947.1	-	14622	14722	101
304	DS548915.1	-	4501	5119	619
305	DS548886.1	+	16325	16917	593
306	DS548872.1	+	1	227	227
307	DS548859.1	+	1144	1219	76
308	DS548833.1	+	545	1127	583
309	DS548823.1	-	1151	1597	447
310	DS548800.1	-	46	141	96
311	DS548800.1	+	25466	26052	587
312	DS548800.1	+	47024	47608	585
313	DS548800.1	+	98416	99007	592
314	DS548800.1	-	241228	241309	82
315	DS548795.1	+	644	719	76
316	DS548795.1	+	24388	24973	586
317	DS548795.1	-	71306	71897	592
318	DS548795.1	+	127956	128528	573
319	DS548753.1	-	4933	5525	593
320	DS548751.1	-	380	958	579
321	DS548750.1	-	3197	3784	588
322	DS548749.1	+	690	1280	591
323	DS548749.1	+	1791	2112	322
324	DS548739.1	-	4832	5412	581
325	DS548729.1	-	31980	32573	594
326	DS548697.1	+	2	338	337
327	DS548694.1	+	12530	13121	592
328	DS548671.1	+	1601	2186	586
329	DS548665.1	+	2161	2739	579
330	DS548659.1	-	6830	7408	579
331	DS548651.1	-	3428	4009	582
332	DS548648.1	+	6289	6876	588
333	DS548645.1	+	16343	16940	598
334	DS548645.1	+	26372	26948	577
335	DS548645.1	+	26372	26768	397
336	DS548645.1	-	36558	37145	588
337	DS548645.1	+	39189	39773	585
338	DS548644.1	+	1259	1481	223
339	DS548635.1	-	30	227	198
340	DS548626.1	-	10105	10700	596
341	DS548606.1	+	45830	46412	583
342	DS548606.1	+	50623	50724	102
343	DS548599.1	+	14566	15163	598
344	DS548599.1	+	27952	28230	279
345	DS548599.1	+	28257	28504	248
346	DS548598.1	-	10459	11046	588
347	DS548583.1	-	6359	6947	589
348	DS548583.1	-	28389	28570	182
349	DS548582.1	-	8658	9249	592
350	DS548573.1	-	18803	19399	597
351	DS548525.1	-	821	1401	581
352	DS548521.1	-	23896	24499	604
353	DS548521.1	+	36838	37432	595
354	DS548511.1	-	4886	5468	583
355	DS548499.1	-	1034	1625	592
356	DS548496.1	+	6089	6685	597
357	DS548492.1	-	7909	8502	594
358	DS548479.1	-	3389	3979	591
359	DS548477.1	+	12667	13105	439
360	DS548470.1	-	3395	3947	553
361	DS548454.1	-	51177	51753	577
362	DS548451.1	+	6301	6412	112
363	DS548451.1	+	6412	6853	442
364	DS548441.1	-	1009	1246	238
365	DS548441.1	-	1231	1582	352
366	DS548440.1	-	224	806	583
367	DS548440.1	+	2854	3358	505
368	DS548432.1	-	3457	3945	489
369	DS548423.1	-	4055	4649	595
370	DS548416.1	-	2299	2896	598
371	DS548411.1	+	1	273	273
372	DS548377.1	-	582	1167	586
373	DS548377.1	+	5810	6404	595
374	DS548370.1	+	3409	4021	613
375	DS548367.1	-	86399	86985	587
376	DS548367.1	+	88914	89493	580
377	DS548359.1	-	3643	4230	588
378	DS548356.1	-	964	1554	591
379	DS548340.1	+	1616	2186	571
380	DS548338.1	+	514	780	267
381	DS548338.1	+	2011	2345	335
382	DS548332.1	+	9988	10047	60
383	DS548315.1	-	1307	1900	594
384	DS548306.1	+	2327	2726	400
385	DS548303.1	+	3379	3826	448
386	DS548293.1	-	55444	55601	158
387	DS548274.1	-	677	1260	584
388	DS548274.1	+	2169	2532	364
389	DS548268.1	-	446	952	507
390	DS548257.1	+	1	60	60
391	DS548251.1	-	2741	3315	575
392	DS548244.1	+	7328	7905	578
393	DS548237.1	-	2050	2631	582
394	DS548217.1	+	4185	4416	232
395	DS548217.1	+	37382	37974	593
396	DS548207.1	-	6216	6800	585
397	DS548207.1	-	18789	19401	613
398	DS548203.1	+	3375	3443	69
399	DS548201.1	-	4022	4608	587
400	DS548201.1	+	5509	6005	497
401	DS548161.1	+	34504	35072	569
402	DS548161.1	-	35120	35758	639
403	DS548151.1	-	800	1385	586
404	DS548151.1	+	3373	3806	434
405	DS548146.1	-	134459	135045	587
406	DS548119.1	-	229	808	580
407	DS548119.1	+	2366	2897	532
408	DS548116.1	+	1265	1846	582
409	DS548104.1	+	3058	3445	388
410	DS548104.1	+	3482	3619	138
411	DS548102.1	+	1	341	341
412	DS548098.1	+	3695	4100	406
413	DS548096.1	-	1792	2373	582
414	DS548095.1	+	19417	20033	617
415	DS548081.1	+	25687	26281	595
416	DS548079.1	-	52227	52815	589
417	DS548075.1	+	5302	5698	397
418	DS548063.1	+	1296	1551	256
419	DS548063.1	-	5831	6355	525
420	DS548063.1	+	19416	20040	625
421	DS548059.1	+	17881	18476	596
422	DS548044.1	-	1708	2300	593
423	DS548020.1	+	6026	6621	596
424	DS548020.1	+	20101	20693	593
425	DS548020.1	+	40818	41245	428
426	DS548017.1	-	16106	16703	598
427	DS548000.1	+	810	880	71
428	DS547989.1	-	7057	7681	625
429	DS547975.1	-	2152	2227	76
430	DS547964.1	-	3041	3637	597
431	DS547941.1	+	40036	40629	594
432	DS547933.1	+	48752	49343	592
433	DS547933.1	-	124467	125060	594
434	DS547928.1	+	6544	6675	132
435	DS547926.1	+	201	791	591
436	DS547905.1	+	39718	40304	587
437	DS547899.1	+	6	409	404
438	DS547896.1	-	7525	8099	575
439	DS547885.1	-	13	629	617
440	DS547879.1	-	4241	4853	613
441	DS547865.1	-	5502	6094	593
442	DS547859.1	-	1237	1811	575
443	DS547853.1	-	3499	4091	593
444	DS547849.1	-	1369	2007	639
445	DS547840.1	+	193	774	582
446	DS547838.1	+	7534	8152	619
447	DS547836.1	-	1460	1538	79
448	DS547835.1	+	35508	35615	108
449	DS547786.1	+	42574	43161	588
450	DS547785.1	-	4244	4824	581
451	DS547784.1	+	1528	2073	546
452	DS547783.1	+	23785	24382	598
453	DS547783.1	+	25775	26368	594
454	DS547768.1	-	519	1116	598
455	DS547759.1	+	2450	3032	583
