=== COMMON SINEs ===
SeqID	Orientation1	Start1	Stop1	SINEID1	Orientation2	Start2	Stop2	SINEID2	%Overlap
DS571385	+	10633	11144	228	+	10623	11142	77	97.70%
DS571310	+	15042	15563	289	+	15039	15560	56	98.86%
DS571187	+	7731	8258	399	+	7728	8255	41	98.87%
DS571221	+	45973	46520	358	+	45970	46517	11	98.91%
DS571643	+	737	1285	120	+	734	1284	28	99.28%
DS572494	+	3	87	7	+	1	559	166	15.21%
DS571479	+	5628	6153	198	+	5619	6150	58	97.76%
DS571485	+	12254	12389	190	+	12251	12746	158	27.42%
DS572119	+	240	402	29	+	227	817	130	27.58%
DS572119	+	480	818	30	+	227	817	130	57.09%
DS571157	+	85456	86055	458	+	85453	86052	5	99.00%
DS571597	+	4605	4758	139	+	4602	5189	108	26.19%
DS571597	+	4854	5190	140	+	4602	5189	108	57.05%
DS571597	+	8576	9092	142	+	8573	9089	42	98.85%
DS571204	+	58923	59444	378	+	58918	59442	62	98.67%
DS571257	+	385	547	325	+	376	957	114	28.01%
DS571257	+	616	960	326	+	376	957	114	58.46%
DS571257	+	24191	24792	328	+	24188	24789	22	99.01%
DS571257	+	45864	46411	329	+	45861	46408	10	98.91%
DS571442	+	14675	15233	212	+	14666	15230	111	97.89%
DS571190	+	67760	68306	396	+	67757	68303	15	98.91%
DS571714	+	3042	3567	84	+	3039	3564	76	98.87%
DS571225	+	35303	35815	356	+	35295	35813	93	98.08%
DS571813	+	1181	1730	61	+	1172	1729	133	98.21%
DS571601	+	6354	6875	137	+	6351	6873	70	99.05%
DS571375	+	11564	11668	235	+	11554	12140	156	17.89%
DS571305	+	982	1488	291	+	972	1484	101	97.29%
DS571162	+	90296	90468	447	+	90292	90873	106	29.73%
DS571162	+	90544	90876	448	+	90292	90873	106	56.41%
DS571162	+	90544	90642	449	+	90292	90873	106	17.01%
DS571464	+	14348	14843	203	+	14286	14840	105	88.35%
DS571173	+	55379	55902	422	+	55376	55899	85	98.86%
DS571165	+	67554	67819	438	+	67257	67816	181	46.71%
DS571261	+	35359	35881	322	+	35353	35880	96	98.68%
DS571314	+	27504	28027	284	+	27501	28023	95	98.67%
DS571683	+	4580	4745	96	+	4571	5160	138	28.14%
DS571683	+	4823	5161	97	+	4571	5160	138	57.19%
DS571709	+	2202	2377	90	+	2199	2780	102	30.24%
DS571709	+	2400	2784	91	+	2199	2780	102	65.02%
DS571176	+	5153	5664	418	+	5141	5663	55	97.52%
DS571321	+	12109	12624	277	+	12106	12621	37	98.84%
DS571628	+	4708	4877	125	+	4699	5293	132	28.57%
DS571628	+	4954	5294	126	+	4699	5293	132	57.05%
DS571832	+	658	1204	59	+	655	1201	16	98.91%
DS571546	+	7670	8189	156	+	7667	8187	51	99.04%
DS571482	+	14834	14935	192	+	14747	15262	169	19.77%
DS571482	+	15011	15262	193	+	14747	15262	169	48.84%
DS571153	+	2279	2791	466	+	2270	2789	99	97.89%
DS571670	+	3674	3759	102	+	3127	3758	183	13.43%
DS572490	+	664	838	8	+	661	1120	121	38.04%
DS572490	+	890	1120	9	+	661	1120	121	50.22%
DS571668	+	1002	1559	105	+	993	1556	117	97.88%
DS571164	+	128002	128545	445	+	127996	128542	31	98.36%
DS571480	+	4103	4657	195	+	4094	4656	145	98.23%
DS571530	+	1530	2066	158	+	1520	2063	50	97.62%
DS571515	+	12024	12542	166	+	12019	12539	86	98.47%
DS571434	+	13629	14135	213	+	13621	14141	92	97.31%
DS571158	+	27157	27705	454	+	27154	27704	21	99.28%
DS571158	+	113569	114082	455	+	113563	114080	90	98.46%
DS571358	+	20919	21460	251	+	20913	21457	35	98.36%
DS571160	+	2282	2787	451	+	2272	2783	104	97.29%
DS571360	+	6411	6582	248	+	6406	6989	116	29.45%
DS571360	+	6653	6992	249	+	6406	6989	116	57.41%
DS571637	+	4646	4810	122	+	4637	5226	147	27.97%
DS571637	+	4887	5227	123	+	4637	5226	147	57.53%
DS571408	+	13479	14004	223	+	13476	14002	65	99.05%
DS571525	+	645	826	161	+	311	823	195	34.69%
DS571272	+	1426	1973	313	+	1423	1970	4	98.91%
DS571662	+	2852	2956	110	+	2842	3341	151	21.00%
DS571774	+	235	759	71	+	232	756	75	98.86%
DS572032	+	385	547	35	+	376	957	113	28.01%
DS572032	+	616	960	36	+	376	957	113	58.46%
DS571249	+	2303	2847	336	+	2300	2846	30	99.27%
DS571249	+	41310	41826	337	+	41300	41823	38	97.53%
DS571179	+	37876	38421	414	+	37873	38420	33	99.27%
DS571179	+	92525	93045	417	+	92522	93042	19	98.85%
DS571186	+	24991	25539	402	+	24988	25538	14	99.28%
DS571333	+	24596	24700	263	+	24586	25172	157	17.89%
DS571170	+	49797	50304	427	+	49793	50301	54	98.63%
DS571608	+	7466	7975	136	+	7462	7985	59	97.33%
DS571794	+	1155	1682	67	+	1146	1678	94	97.58%
DS571710	+	2039	2368	89	+	1799	2367	152	57.72%
DS571478	+	11047	11573	199	+	11037	11569	69	97.39%
DS571224	+	49836	50359	357	+	49831	50356	80	98.49%
DS572209	+	374	548	20	+	355	846	143	35.57%
DS572209	+	584	849	21	+	355	846	143	53.13%
DS571184	+	54902	55424	404	+	54897	55421	61	98.48%
DS571202	+	47441	47779	382	+	47192	47777	129	57.31%
DS571551	+	8152	8691	155	+	8149	8687	57	98.71%
DS571166	+	33452	33997	435	+	33449	33996	9	99.27%
DS571166	+	120649	120822	436	+	120646	121235	103	29.49%
DS571166	+	120898	121238	437	+	120646	121235	103	57.00%
DS572063	+	1201	1368	33	+	1192	1779	124	28.57%
DS572063	+	1432	1781	34	+	1192	1779	124	58.98%
DS571512	+	8398	8929	168	+	8394	8925	88	98.51%
DS571154	-	134419	134622	464	+	134019	134504	192	14.24%
DS571897	+	636	1196	44	+	627	1193	115	97.89%
DS571514	+	12240	12738	167	+	12237	12735	46	98.80%
DS571646	+	6287	6573	119	+	6079	6570	160	57.37%
DS571477	+	2876	3462	200	+	2871	3459	139	98.65%
DS571364	+	4774	4935	241	+	4761	5338	128	28.03%
DS571364	+	4953	5341	242	+	4761	5338	128	66.44%
DS572182	+	507	885	24	+	493	964	140	80.30%
DS572252	+	5	551	15	+	2	548	34	98.91%
DS571494	+	2814	3360	181	+	2811	3357	6	98.91%
DS571647	+	3698	4225	118	+	3695	4221	67	98.68%
DS571804	+	840	1360	63	+	837	1358	44	99.05%
DS571704	+	85	583	93	+	82	580	47	98.80%
DS571669	+	3654	3821	103	+	3645	4230	127	28.67%
DS571669	+	3899	4233	104	+	3645	4230	127	56.37%
DS571161	+	105544	106050	450	+	105538	106047	100	98.25%
DS571175	+	74284	74763	419	+	74276	74805	137	90.57%
DS571489	+	6583	7125	188	+	6580	7122	32	98.90%
DS571651	+	5635	6156	116	+	5631	6152	89	98.48%
DS571347	+	2153	2697	252	+	2150	2696	2	99.27%
DS571347	+	7766	8312	253	+	7763	8309	1	98.91%

=== ONLY IN FILE 1 ===
SeqID	Orientation	Start	Stop	Length	SINEID
DS571795	-	967	1533	567	66
DS571200	-	34421	34588	168	385
DS571200	-	48531	49130	600	386
DS571200	-	69036	69137	102	387
DS571520	-	4289	4393	105	165
DS571399	-	18518	19032	515	226
DS571424	-	3596	4129	534	217
DS571288	+	14814	15159	346	300
DS571361	+	6649	6989	341	247
DS571281	+	36944	37183	240	305
DS571227	-	51073	51620	548	353
DS571761	-	688	1129	442	75
DS571894	+	1	79	79	46
DS571150	-	108719	108793	75	476
DS571167	-	117042	117212	171	432
DS571196	-	636	871	236	389
DS571510	-	10035	10283	249	169
DS571510	+	10283	10369	87	170
DS571510	-	10473	10686	214	171
DS571207	-	6396	6478	83	374
DS571146	-	76590	77115	526	479
DS571247	-	14626	15174	549	338
DS571240	-	21810	22357	548	343
DS571240	-	34687	35232	546	344
DS571327	-	3149	3668	520	265
DS571327	-	28534	29053	520	266
DS571327	-	29536	30054	519	267
DS571256	-	32639	33186	548	330
DS571635	-	3461	4008	548	124
DS571337	+	9924	10096	173	258
DS571337	+	10174	10366	193	259
DS571234	+	23602	23708	107	347
DS571234	-	28707	28981	275	348
DS571234	+	34104	34205	102	349
DS572593	-	147	694	548	3
DS571825	-	3163	3504	342	60
DS571214	-	14616	15162	547	364
DS571326	-	3465	3986	522	268
DS571263	+	40459	40762	304	318
DS571609	-	3396	3867	472	135
DS571274	+	9045	9402	358	311
DS571210	-	7313	7650	338	367
DS571210	-	7728	7889	162	368
DS571210	-	31147	31225	79	370
DS571210	+	40758	41076	319	371
DS571712	-	1536	1846	311	88
DS571145	+	41767	41842	76	481
DS571145	-	177983	178060	78	483
DS571145	-	290395	290768	374	486
DS571145	-	290395	290440	46	487
DS571145	-	290802	290980	179	488
DS571145	-	331929	332474	546	489
DS571145	+	370372	370584	213	490
DS571378	-	16905	17423	519	232
DS571462	+	2827	2990	164	204
DS571462	+	3765	4056	292	205
DS571427	-	19392	19454	63	215
DS571423	-	480	1027	548	218
DS571315	-	29970	30250	281	282
DS571315	-	30388	30558	171	283
DS571203	-	7290	7492	203	380
DS571203	-	15776	16143	368	381
DS571421	-	9077	9309	233	219
DS571279	-	21128	21675	548	307
DS571181	-	66864	67386	523	409
DS571181	-	73495	73664	170	410
DS571181	-	91281	91609	329	411
DS571338	-	29344	29863	520	257
DS571791	-	125	511	387	68
DS571913	-	769	1318	550	43
DS572628	+	181	263	83	2
DS572664	-	438	816	379	1
DS572139	-	339	856	518	28
DS571282	-	4493	5005	513	304
DS571171	-	68459	68972	514	425
DS571183	-	67470	68018	549	405
DS571498	-	11135	11636	502	178
DS571454	-	1540	2065	526	206
DS571317	-	31799	32139	341	280
DS571317	-	32217	32383	167	281
DS571833	-	382	906	525	58
DS571481	-	275	357	83	194
DS571362	-	23201	23543	343	245
DS571362	-	23621	23787	167	246
DS571419	-	11444	11953	510	221
DS571469	-	5934	6454	521	202
DS571198	-	74939	75264	326	388
DS571499	-	10340	10444	105	177
DS571325	+	4229	4333	105	269
DS571325	-	6530	7049	520	270
DS571366	-	20852	21418	567	240
DS571193	-	2680	3013	334	393
DS571193	-	2996	3191	196	394
DS571302	+	26753	26883	131	294
DS572165	+	1	165	165	27
DS571846	-	1374	1609	236	52
DS571846	-	3082	3345	264	53
DS571182	-	24783	24930	148	406
DS571182	-	33894	34215	322	407
DS571379	-	4187	4469	283	231
DS572549	-	1	259	259	5
DS571496	+	8392	8557	166	180
DS571974	-	647	908	262	37
DS571751	-	3536	3928	393	78
DS571382	-	18364	18911	548	229
DS572441	-	1061	1162	102	10
DS571567	+	6898	7161	264	149
DS571567	+	8620	8855	236	150
DS571584	-	2163	2495	333	144
DS571584	-	2580	2745	166	145
DS571226	-	26473	27020	548	354
DS571839	-	1394	1910	517	57
DS571428	-	1	432	432	214
DS571278	-	5788	6335	548	308
DS571278	+	42329	42533	205	309
DS571451	-	2940	3490	551	208
DS572087	-	858	1387	530	32
DS571844	-	827	1393	567	54
DS571661	-	2654	2736	83	111
DS571310	-	11201	11748	548	288
DS571508	-	3951	4497	547	173
DS571187	-	77798	78137	340	400
DS571187	-	78124	78315	192	401
DS571562	-	9097	9556	460	153
DS571151	-	88957	89502	546	470
DS571151	-	119749	120322	574	471
DS571151	-	150145	150737	593	472
DS571151	-	154349	154896	548	473
DS571401	-	13584	13711	128	225
DS571168	-	1779	2296	518	429
DS571742	-	2062	2569	508	81
DS571174	-	97506	98020	515	421
DS571335	-	11071	11144	74	261
DS571336	-	3051	3530	480	260
DS571208	+	21806	22114	309	372
DS571208	-	64292	64851	560	373
DS571730	+	563	823	261	83
DS571157	+	9638	9807	170	456
DS571157	+	9888	10199	312	457
DS571277	-	38568	39113	546	310
DS571597	-	5447	5974	528	141
DS571346	-	25552	26089	538	254
DS571204	-	69989	70514	526	379
DS571213	-	1929	2163	235	365
DS571257	-	7608	8154	547	327
DS571159	-	21129	21211	83	452
DS571391	-	1935	2281	347	227
DS571552	-	1055	1574	520	154
DS571169	-	3476	3565	90	428
DS571225	-	2662	2959	298	355
DS571219	-	14575	15119	545	359
DS571216	-	54483	54744	262	360
DS571216	-	59808	60174	367	361
DS571216	-	60228	60398	171	362
DS571601	-	8020	8115	96	138
DS571368	+	4650	4820	171	239
DS571504	+	7442	7705	264	174
DS571504	+	9167	9402	236	175
DS572093	-	1184	1731	548	31
DS571375	-	1510	1885	376	233
DS571375	+	3743	3978	236	234
DS571375	-	12725	13246	522	236
DS571375	-	16833	16942	110	237
DS571563	-	1655	2145	491	152
DS572249	-	1	355	355	16
DS571620	-	2666	3001	336	128
DS571620	-	3079	3244	166	129
DS571271	+	44400	44478	79	314
DS571782	-	3845	4127	283	69
DS571173	-	66390	66910	521	423
DS572569	-	397	562	166	4
DS571769	-	2739	3297	559	72
DS571589	-	7340	7575	236	143
DS571864	-	8	110	103	50
DS571709	-	3151	3670	520	92
DS571321	-	10357	10694	338	275
DS571321	-	10773	10941	169	276
DS571321	-	31302	31857	556	278
DS572199	-	363	793	431	22
DS572199	+	1352	1597	246	23
DS571212	+	51753	51824	72	366
DS571483	-	6889	7437	549	191
DS571372	-	19243	19790	548	238
DS571155	+	84195	84345	151	460
DS571155	-	84915	85338	424	461
DS571155	+	85325	85541	217	462
DS571155	+	91603	91753	151	463
DS571640	-	4495	5069	575	121
DS571781	-	220	324	105	70
DS571952	+	1166	1401	236	39
DS571299	-	247	503	257	295
DS571299	-	581	752	172	296
DS571153	-	10789	11052	264	467
DS571153	-	98746	99083	338	468
DS571153	-	99152	99326	175	469
DS572231	-	547	887	341	17
DS572231	-	965	1126	162	18
DS572253	-	464	804	341	13
DS572253	-	882	1044	163	14
DS571668	-	4287	4833	547	106
DS571445	-	9170	9717	548	211
DS571164	+	3374	3544	171	439
DS571164	-	3678	4206	529	440
DS571164	+	4207	4498	292	441
DS571164	-	63794	64279	486	442
DS571164	-	76192	76560	369	443
DS571164	-	76614	76784	171	444
DS571164	-	128981	129320	340	446
DS571492	-	5152	5198	47	184
DS571492	-	6596	6937	342	185
DS571492	-	7007	7177	171	186
DS571492	-	7635	7920	286	187
DS571480	-	14142	14573	432	196
DS571480	+	15248	15327	80	197
DS571621	-	935	1463	529	127
DS571309	+	12705	12808	104	290
DS572264	-	384	926	543	11
DS571156	-	131615	131788	174	459
DS571280	-	7329	7892	564	306
DS571537	-	10094	10592	499	157
DS571849	-	127	651	525	51
DS571158	-	13392	13914	523	453
DS571358	-	1	291	291	250
DS571410	-	9211	9757	547	222
DS571895	-	409	907	499	45
DS572179	-	232	570	339	25
DS572179	-	647	808	162	26
DS571525	-	9264	9592	329	162
DS571525	-	9670	9837	168	163
DS571255	-	2413	2933	521	331
DS571255	-	5180	5730	551	332
DS571255	-	47564	48079	516	333
DS571934	-	989	1553	565	40
DS571179	-	17221	17550	330	412
DS571179	-	17642	17794	153	413
DS571179	-	50810	51143	334	415
DS571179	-	51126	51321	196	416
DS571570	-	6988	7518	531	148
DS571583	-	6604	6787	184	146
DS571583	-	6865	7030	166	147
DS571312	-	3433	3951	519	285
DS571312	-	16975	17547	573	286
DS571312	-	32704	33283	580	287
DS571290	-	38958	39278	321	297
DS572254	-	1134	1402	269	12
DS571405	-	17230	17767	538	224
DS571186	-	65379	65899	521	403
DS571333	-	26886	27402	517	264
DS571925	-	3	323	321	42
DS571803	-	308	546	239	64
DS571803	-	584	793	210	65
DS571170	-	5598	5861	264	426
DS571340	-	28679	29011	333	255
DS571340	-	29093	29260	168	256
DS571660	-	369	743	375	112
DS571660	+	2613	2848	236	113
DS571931	-	2270	2610	341	41
DS571238	-	1289	1580	292	345
DS571650	-	3218	3389	172	117
DS571675	-	2590	2965	376	99
DS571675	+	4877	5115	239	100
DS571202	-	69412	69750	339	383
DS571202	-	69828	69993	166	384
DS571166	-	2422	2695	274	433
DS571166	-	2839	3007	169	434
DS571245	-	48333	48864	532	340
DS571154	-	134574	134922	349	465
DS571747	+	386	453	68	79
DS571364	-	15233	15754	522	243
DS571364	-	17240	17526	287	244
DS571529	-	1675	2018	344	159
DS571529	-	2095	2262	168	160
DS571743	-	1429	1948	520	80
DS571494	-	6181	6241	61	182
DS571244	-	34035	34320	286	341
DS571244	-	35083	35255	173	342
DS571380	-	2218	2300	83	230
DS571323	-	4062	4240	179	273
DS571323	-	4341	4442	102	274
DS571250	-	21672	22242	571	334
DS571250	-	41650	42221	572	335
DS571175	-	99522	99581	60	420
DS571206	-	4326	4845	520	375
DS571206	-	7492	8012	521	376
DS571206	-	68714	69212	499	377
DS571664	-	192	703	512	107
DS572515	-	305	600	296	6
DS571147	-	111729	112275	547	478
DS571188	+	1808	2069	262	397
DS571188	+	37351	37698	348	398

=== ONLY IN FILE 2 ===
SeqID	Orientation	Start	Stop	Length	SINEID
DS571795	-	1539	967	573	311
DS571200	-	49133	48532	602	211
DS571520	-	4403	3817	587	344
DS571399	-	19037	18521	517	248
DS571519	+	228	723	496	190
DS571519	-	9070	8387	684	400
DS571424	-	4132	3598	535	273
DS571674	-	616	140	477	381
DS571254	+	25393	26040	648	196
DS571227	-	51623	51076	548	227
DS572184	-	1633	1069	565	392
DS571251	+	32834	33406	573	201
DS572094	-	1367	840	528	403
DS571220	-	33606	33095	512	358
DS571858	-	2317	1755	563	393
DS571761	-	1137	635	503	282
DS571541	+	10089	10729	641	198
DS571874	+	2490	3045	556	178
DS571196	-	1102	636	467	402
DS571827	-	3250	2695	556	360
DS571510	-	10691	10039	653	267
DS571207	-	6989	6399	591	389
DS571146	-	77118	76594	525	291
DS571247	-	15177	14629	549	213
DS571240	-	35235	34688	548	232
DS571240	-	22360	21813	548	236
DS571327	+	2399	2874	476	175
DS571327	-	3671	3152	520	233
DS571327	-	29056	28534	523	235
DS571327	-	30057	29536	522	237
DS571256	-	33189	32642	548	208
DS571635	-	4012	3464	549	301
DS571234	-	29270	28710	561	341
DS572593	-	697	150	548	219
DS571214	-	15165	14617	549	212
DS571326	-	3991	3465	527	276
DS571609	-	3870	3391	480	307
DS571210	-	7899	7311	589	304
DS571145	-	332477	331932	546	231
DS571145	-	290984	290373	612	349
DS571378	-	17429	16908	522	264
DS571427	-	3754	3110	645	368
DS571423	-	1030	483	548	224
DS571315	-	30565	29973	593	306
DS571279	+	22315	22765	451	170
DS571279	-	21678	21129	550	218
DS571181	-	67392	66865	528	288
DS571266	-	17647	17151	497	353
DS571338	-	29868	29347	522	263
DS571791	-	691	127	565	347
DS571913	-	1327	770	558	328
DS572664	-	830	359	472	331
DS572139	-	865	342	524	286
DS571282	-	5008	4493	516	247
DS571171	-	68985	68461	525	272
DS572489	+	550	1005	456	200
DS571183	-	68021	67471	551	229
DS571498	-	11653	11136	518	338
DS571454	-	2068	1542	527	254
DS571317	-	32392	31800	593	317
DS571833	-	909	374	536	280
DS571481	-	868	278	591	391
DS571737	-	4624	4023	602	361
DS571362	-	23796	23204	593	323
DS571419	-	11962	11446	517	294
DS571469	-	6457	5936	522	244
DS572187	-	1218	762	457	373
DS571499	-	10454	9868	587	342
DS571325	-	7054	6533	522	256
DS571366	-	21421	20852	570	314
DS571893	-	1571	1112	460	376
DS571666	+	2968	3474	507	199
DS571193	-	3194	2684	511	278
DS571677	+	16	627	612	186
DS571826	+	1523	2005	483	182
DS571974	-	1211	650	562	356
DS571748	-	1647	1060	588	405
DS571863	-	3290	2707	584	378
DS571751	-	4108	3539	570	343
DS571382	-	18914	18367	548	220
DS571180	+	28996	29617	622	197
DS572084	-	995	531	465	398
DS571291	+	4529	5138	610	188
DS571584	-	2754	2164	591	321
DS571226	-	27023	26476	548	225
DS571839	-	1907	1396	512	285
DS571278	-	6338	5791	548	234
DS571451	-	3493	2943	551	203
DS572087	-	1390	860	531	298
DS571844	-	1399	827	573	312
DS571661	-	3247	2657	591	388
DS571310	-	11751	11204	548	228
DS571508	-	4500	3954	547	206
DS571187	-	78318	77802	517	262
DS571562	-	9616	9099	518	322
DS571151	-	120325	119752	574	214
DS571151	-	154899	154352	548	226
DS571151	-	89505	88960	546	238
DS571151	-	150740	150148	593	296
DS571168	-	2299	1780	520	261
DS571742	-	2571	2065	507	297
DS571174	-	98026	97507	520	223
DS571540	-	11089	10598	492	384
DS572564	+	309	865	557	172
DS571336	-	3533	3050	484	283
DS571208	-	64860	64295	566	318
DS571542	-	5445	4931	515	369
DS571277	-	39116	38571	546	207
DS571597	-	5977	5451	527	279
DS571346	-	26099	25553	547	243
DS571204	-	70517	69992	526	249
DS571257	-	8157	7609	549	221
DS571159	-	21722	21132	591	387
DS571634	+	174	783	610	173
DS571715	-	2360	1899	462	377
DS571391	-	2514	1939	576	346
DS571552	-	1577	1057	521	255
DS571225	-	3147	2664	484	362
DS571219	-	15122	14577	546	268
DS571301	+	17332	17938	607	184
DS571216	-	60403	59811	593	303
DS571979	+	698	1191	494	174
DS571601	-	8125	7539	587	348
DS572093	-	1734	1187	548	217
DS571375	-	13249	12727	523	260
DS571563	-	2148	1618	531	246
DS571620	-	3253	2667	587	325
DS571286	-	7474	6994	481	385
DS571173	-	66913	66392	522	275
DS572569	-	572	1	572	354
DS571769	-	3306	2740	567	339
DS572303	-	624	142	483	380
DS571589	-	7806	7340	467	396
DS571683	-	619	157	463	379
DS571828	-	3562	3038	525	401
DS571223	-	58471	57999	473	359
DS571709	-	3673	3154	520	292
DS571321	-	10950	10359	592	309
DS571321	-	31870	31304	567	337
DS572199	-	879	365	515	365
DS572130	-	675	210	466	372
DS571483	-	7440	6892	549	205
DS571372	-	19793	19246	548	240
DS571155	-	85396	84918	479	340
DS571640	-	5074	4496	579	302
DS571276	+	17704	18169	466	189
DS571456	-	1420	961	460	363
DS571381	-	24014	23336	679	394
DS571299	-	757	178	580	299
DS571153	-	99329	98749	581	295
DS571273	-	10224	9742	483	357
DS572231	-	1139	548	592	327
DS572253	-	1057	465	593	326
DS571668	-	4836	4290	547	241
DS571445	-	9720	9173	548	216
DS571164	-	4209	3682	528	257
DS571164	-	64300	63793	508	287
DS571164	-	76789	76195	595	305
DS571164	-	129553	128984	570	345
DS571492	-	7180	6599	582	308
DS571633	+	3020	3473	454	202
DS571480	-	14659	14144	516	364
DS571621	-	1466	937	530	281
DS572070	-	589	114	476	370
DS572264	-	932	387	546	242
DS571156	+	88162	88789	628	194
DS571603	+	739	1323	585	177
DS571280	-	7895	7331	565	300
DS571537	-	10595	10097	499	252
DS571434	-	12301	11850	452	383
DS571849	-	654	129	526	253
DS571158	-	13920	13394	527	290
DS571376	-	19888	19401	488	366
DS571313	+	21001	21461	461	193
DS571410	-	9760	9214	547	210
DS571895	-	910	412	499	250
DS572179	-	821	233	589	334
DS571525	-	9846	9253	594	319
DS571470	-	14914	14440	475	367
DS571255	-	5733	5183	551	209
DS571255	-	2937	2416	522	265
